"x" , "f(x)" ,"f'(x)"
0.00 , 0.00 , 1.00 
0.06 , 0.06 , 1.00 
0.13 , 0.13 , 0.99 
0.19 , 0.19 , 0.98 
0.25 , 0.25 , 0.97 
0.31 , 0.31 , 0.95 
0.38 , 0.37 , 0.93 
0.44 , 0.43 , 0.90 
0.50 , 0.48 , 0.88 
0.57 , 0.54 , 0.84 
0.63 , 0.59 , 0.81 
0.69 , 0.64 , 0.77 
0.75 , 0.68 , 0.73 
0.82 , 0.73 , 0.68 
0.88 , 0.77 , 0.64 
0.94 , 0.81 , 0.59 
1.01 , 0.84 , 0.54 
1.07 , 0.88 , 0.48 
1.13 , 0.90 , 0.43 
1.19 , 0.93 , 0.37 
1.26 , 0.95 , 0.31 
1.32 , 0.97 , 0.25 
1.38 , 0.98 , 0.19 
1.45 , 0.99 , 0.13 
1.51 , 1.00 , 0.06 
1.57 , 1.00 , -0.00 
1.63 , 1.00 , -0.06 
1.70 , 0.99 , -0.13 
1.76 , 0.98 , -0.19 
1.82 , 0.97 , -0.25 
1.88 , 0.95 , -0.31 
1.95 , 0.93 , -0.37 
2.01 , 0.90 , -0.43 
2.07 , 0.88 , -0.48 
2.14 , 0.84 , -0.54 
2.20 , 0.81 , -0.59 
2.26 , 0.77 , -0.64 
2.32 , 0.73 , -0.68 
2.39 , 0.68 , -0.73 
2.45 , 0.64 , -0.77 
2.51 , 0.59 , -0.81 
2.58 , 0.54 , -0.84 
2.64 , 0.48 , -0.88 
2.70 , 0.43 , -0.90 
2.76 , 0.37 , -0.93 
2.83 , 0.31 , -0.95 
2.89 , 0.25 , -0.97 
2.95 , 0.19 , -0.98 
3.02 , 0.13 , -0.99 
3.08 , 0.06 , -1.00 
3.14 , -0.00 , -1.00 
3.20 , -0.06 , -1.00 
3.27 , -0.13 , -0.99 
3.33 , -0.19 , -0.98 
3.39 , -0.25 , -0.97 
3.46 , -0.31 , -0.95 
3.52 , -0.37 , -0.93 
3.58 , -0.43 , -0.90 
3.64 , -0.48 , -0.88 
3.71 , -0.54 , -0.84 
3.77 , -0.59 , -0.81 
3.83 , -0.64 , -0.77 
3.90 , -0.68 , -0.73 
3.96 , -0.73 , -0.68 
4.02 , -0.77 , -0.64 
4.08 , -0.81 , -0.59 
4.15 , -0.84 , -0.54 
4.21 , -0.88 , -0.48 
4.27 , -0.90 , -0.43 
4.34 , -0.93 , -0.37 
4.40 , -0.95 , -0.31 
4.46 , -0.97 , -0.25 
4.52 , -0.98 , -0.19 
4.59 , -0.99 , -0.13 
4.65 , -1.00 , -0.06 
4.71 , -1.00 , 0.00 
4.78 , -1.00 , 0.06 
4.84 , -0.99 , 0.13 
4.90 , -0.98 , 0.19 
4.96 , -0.97 , 0.25 
5.03 , -0.95 , 0.31 
5.09 , -0.93 , 0.37 
5.15 , -0.90 , 0.43 
5.22 , -0.88 , 0.48 
5.28 , -0.84 , 0.54 
5.34 , -0.81 , 0.59 
5.40 , -0.77 , 0.64 
5.47 , -0.73 , 0.68 
5.53 , -0.68 , 0.73 
5.59 , -0.64 , 0.77 
5.65 , -0.59 , 0.81 
5.72 , -0.54 , 0.84 
5.78 , -0.48 , 0.88 
5.84 , -0.43 , 0.90 
5.91 , -0.37 , 0.93 
5.97 , -0.31 , 0.95 
6.03 , -0.25 , 0.97 
6.09 , -0.19 , 0.98 
6.16 , -0.13 , 0.99 
6.22 , -0.06 , 1.00 
6.28 , 0.00 , 1.00 
